Gene Entrez ID	Gene Symbol
2920	CXCL2
2922	GRP
2923	PDIA3
2931	GSK3A
2932	GSK3B
2935	GSPT1
2936	GSR
2937	GSS
2950	GSTP1
2957	GTF2A1
2958	GTF2A2
2959	GTF2B
2961	GTF2E2
2962	GTF2F1
2963	GTF2F2
2965	GTF2H1
2969	GTF2I
2975	GTF3C1
2980	GUCA2A
2993	GYPA
2997	GYS1
2998	GYS2
3001	GZMA
3002	GZMB
3004	GZMM
3005	H1F0
3006	HIST1H1C
3008	HIST1H1E
3009	HIST1H1B
3010	HIST1H1T
3013	HIST1H2AD
3014	H2AFX
3018	HIST1H2BB
3020	H3F3A
3024	HIST1H1A
3028	HSD17B10
3030	HADHA
3032	HADHB
3035	HARS
3036	HAS1
3043	HBB
3054	HCFC1
3055	HCK
3059	HCLS1
3064	HTT
3065	HDAC1
3066	HDAC2
3068	HDGF
3069	HDLBP
3073	HEXA
3075	CFH
3081	HGD
3087	HHEX
3090	HIC1
3091	HIF1A
3093	UBE2K
3096	HIVEP1
3097	HIVEP2
3098	HK1
3099	HK2
3105	HLA-A
3106	HLA-B
3107	HLA-C
3131	HLF
3141	HLCS
3150	HMGN1
3151	HMGN2
3159	HMGA1
3161	HMMR
3162	HMOX1
3164	NR4A1
3172	HNF4A
3174	HNF4G
3176	HNMT
3178	HNRNPA1
3181	HNRNPA2B1
3182	HNRNPAB
3183	HNRNPC
3184	HNRNPD
3185	HNRNPF
3187	HNRNPH1
3188	HNRNPH2
3189	HNRNPH3
3190	HNRNPK
3191	HNRNPL
3192	HNRNPU
3198	HOXA1
3200	HOXA3
3204	HOXA7
3205	HOXA9
3208	HPCA
3217	HOXB7
3219	HOXB9
3223	HOXC6
3224	HOXC8
3227	HOXC11
3229	HOXC13
3239	HOXD13
3240	HP
3250	HPR
3251	HPRT1
3265	HRAS
3267	AGFG1
3275	PRMT2
3276	PRMT1
3280	HES1
3295	HSD17B4
3297	HSF1
3298	HSF2
3299	HSF4
3301	DNAJA1
3303	HSPA1A
3305	HSPA1L
3306	HSPA2
3308	HSPA4
3309	HSPA5
3310	HSPA6
3312	HSPA8
3313	HSPA9
3315	HSPB1
3316	HSPB2
3320	HSP90AA1
3326	HSP90AB1
3329	HSPD1
3336	HSPE1
3337	DNAJB1
3355	HTR1F
3356	HTR2A
3363	HTR7
3364	HUS1
3376	IARS
3383	ICAM1
3384	ICAM2
3385	ICAM3
3396	ICT1
3397	ID1
3398	ID2
3416	IDE
3418	IDH2
3419	IDH3A
3420	IDH3B
3429	IFI27
3430	IFI35
3433	IFIT2
3434	IFIT1
3437	IFIT3
3454	IFNAR1
3455	IFNAR2
3476	IGBP1
3479	IGF1
3480	IGF1R
3481	IGF2
3482	IGF2R
3486	IGFBP3
3488	IGFBP5
3489	IGFBP6
3516	RBPJ
3535	IGL
3543	IGLL1
3550	IK
3551	IKBKB
3556	IL1RAP
3559	IL2RA
3560	IL2RB
3561	IL2RG
3563	IL3RA
3566	IL4R
3568	IL5RA
3570	IL6R
3572	IL6ST
3575	IL7R
3576	IL8
3581	IL9R
3587	IL10RA
3588	IL10RB
3590	IL11RA
3601	IL15RA
3603	IL16
3607	FOXK2
3608	ILF2
3609	ILF3
3611	ILK
3615	IMPDH2
3617	IMPG1
3619	INCENP
3621	ING1
3627	CXCL10
3633	INPP5B
3636	INPPL1
3643	INSR
3646	EIF3E
3654	IRAK1
3655	ITGA6
3659	IRF1
3660	IRF2
3661	IRF3
3663	IRF5
3665	IRF7
3667	IRS1
3670	ISL1
3673	ITGA2
3675	ITGA3
3676	ITGA4
3678	ITGA5
3684	ITGAM
3685	ITGAV
3688	ITGB1
3690	ITGB3
3691	ITGB4
3692	EIF6
3694	ITGB6
3696	ITGB8
3702	ITK
3703	STT3A
3708	ITPR1
3710	ITPR3
3716	JAK1
3717	JAK2
3718	JAK3
3725	JUN
3726	JUNB
3727	JUND
3732	CD82
3735	KARS
3736	KCNA1
3737	KCNA2
3738	KCNA3
3741	KCNA5
3752	KCND3
3754	KCNF1
3757	KCNH2
3775	KCNK1
3778	KCNMA1
3782	KCNN3
3784	KCNQ1
3791	KDR
3796	KIF2A
3798	KIF5A
3799	KIF5B
3801	KIFC3
3803	KIR2DL2
3815	KIT
3832	KIF11
3833	KIFC1
3835	KIF22
3836	KPNA1
3837	KPNB1
3838	KPNA2
3839	KPNA3
3840	KPNA4
3841	KPNA5
3842	TNPO1
3843	IPO5
3845	KRAS
3846	KRTAP5-9
3849	KRT2
3850	KRT3
3853	KRT6A
3856	KRT8
3858	KRT10
3860	KRT13
3861	KRT14
3866	KRT15
3868	KRT16
3875	KRT18
3880	KRT19
3881	KRT31
3884	KRT33B
3885	KRT34
3886	KRT35
3888	KRT82
3889	KRT83
3891	KRT85
3892	KRT86
3895	KTN1
3904	LAIR2
3910	LAMA4
3912	LAMB1
3913	LAMB2
3914	LAMB3
3915	LAMC1
3920	LAMP2
3921	RPSA
3925	STMN1
3927	LASP1
3929	LBP
3930	LBR
3932	LCK
3934	LCN2
3936	LCP1
3939	LDHA
3945	LDHB
3952	LEP
3953	LEPR
3954	LETM1
3956	LGALS1
